,报警时间,报警电话,证件类型,联系人电话,小型客车子类,当事人事故责任,当事人处罚情况,证件号码,姓名,城市,街道,GPS_X,GPS_Y,发生地点,普通路面类型,道路级别,路口,路段,斑马线,信号灯,证件号码合法性,户籍,年龄,电话归属地
49,2020-12-01 15:25:31,18658808055.0,身份证,18658808055,nan,全部,已处罚,620724200208057999,鲁帅,上海市,李路,119.94854864858,30.058028610008,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,甘肃省,20,浙江
50,2020-12-01 15:16:18,18858150369.0,身份证,13645815561,非营运,无责,未发现违法行为,42092319931018251X,毕彬,荆门县,柳州路,119.960484596484,30.051685506887,内部道路,nan,nan,nan,nan,nan,nan,合法,湖北省,29,浙江
51,2020-12-01 15:09:12,13758236167.0,身份证,13588380680,nan,次要,未发现违法行为,231224199901079112,刘辉,海门县,上海街,119.910831936552,30.087445577424,普通路面,路口,乡/村道,十字路口,nan,否,无,合法,黑龙江省,23,浙江
52,2020-12-01 15:03:55,18868757608.0,身份证,18868757608,非营运,无责,未发现违法行为,130407201601229756,黄秀华,石家庄县,张街,119.937613994071,30.037526829461,普通路面,路口,城市道路,不规则路口,nan,是,无,合法,河北省,6,浙江
53,2020-12-01 15:03:10,13732236188.0,身份证,18868723394,非营运,无法现场认定,未发现违法行为,441322198811176493,陈瑞,昆明市,岳街,119.735965,29.967663,内部道路,nan,nan,nan,nan,nan,nan,合法,广东省,34,浙江
54,2020-12-01 14:59:37,13758229037.0,身份证,13173645515,nan,同等,已处罚,150428198308097660,刘霞,惠州市,许路,nan,nan,普通路面,路口,乡/村道,十字路口,nan,否,无,合法,内蒙古自治区,39,浙江
55,2020-12-01 14:41:24,nan,身份证,15957160099,非营运,无责,未发现违法行为,610700199609228076,郑亮,建国市,石街,119.978561027168,30.075920031334,普通路面,路口,城市道路,十字路口,nan,否,有,合法,陕西省,26,浙江
56,2020-12-01 14:02:41,13486159945.0,身份证,13968144854,nan,无责,未发现违法行为,340811200504078870,赵宁,林县,汕尾街,119.93892,30.0598,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,安徽省,17,浙江
57,2020-12-01 13:26:16,15336559736.0,身份证,15336559736,非营运,nan,nan,610630199610035864,陈浩,北镇市,方街,119.465563962239,30.122082515296,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,陕西省,26,浙江
58,2020-12-01 13:10:13,18045420019.0,身份证,18758200922,nan,无责,未发现违法行为,41042319830808540X,刘飞,峰县,重庆街,nan,nan,内部道路,nan,nan,nan,nan,nan,nan,合法,河南省,39,不合法的电话号码
59,2020-12-01 12:54:41,18258238385.0,身份证,18258238385,非营运,全部,已处罚,370105197405128313,严东,北京市,叶路,119.945374918468,30.06074222873,普通路面,路段,城市道路,nan,不在缺口上发生,是,无,合法,山东省,48,浙江
60,2020-12-01 12:49:43,17816175800.0,身份证,15967166330,nan,无责,未发现违法行为,620103196208076141,林秀芳,伟县,陈路,119.903789189148,30.096522847424,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,甘肃省,60,浙江
61,2020-12-01 12:46:46,13819137543.0,身份证,13819137543,nan,nan,nan,460105200204252904,房明,淮安县,宜都街,119.98592,30.06812,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,海南省,20,浙江
62,2020-12-01 12:41:18,nan,身份证,13989836682,nan,无责,未发现违法行为,620921200204197208,傅秀芳,秀英县,潮州街,119.923208512268,30.046899745452,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,甘肃省,20,浙江
63,2020-12-01 12:38:03,13003656085.0,身份证,15824171507,nan,无责,未发现违法行为,65312719521212477X,黎强,彬县,海口路,119.932706608028,30.050724801629,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,新疆维吾尔自治区,70,浙江
64,2020-12-01 12:17:36,18768187282.0,身份证,18768187282,非营运,nan,nan,130923199605033053,王秀英,飞市,昆明路,119.77364,30.00227,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,河北省,26,不合法的电话号码
65,2020-12-01 12:08:36,15397123912.0,身份证,15397123912,nan,无法现场认定,未发现违法行为,630223201309169386,林欣,淑珍县,兰州路,119.94152,30.06786,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,青海省,9,浙江
66,2020-12-01 11:55:45,13706815355.0,身份证,15925626674,非营运,无责,未发现违法行为,140000197111029467,萧海燕,秀兰市,海口街,119.50874421565,30.065402515467,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,山西省,51,浙江
67,2020-12-01 11:52:26,13968194865.0,身份证,13732236310,nan,次要,未发现违法行为,451402200207223734,张斌,拉萨县,嘉禾路,119.93773524959,30.05909982042,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,广西壮族自治区,20,浙江
68,2020-12-01 11:40:32,15158845772.0,身份证,15158845772,非营运,nan,nan,640105200211029288,张莹,丽市,六安路,119.966768963353,30.133722600522,内部道路,nan,nan,nan,nan,nan,nan,合法,宁夏回族自治区,20,浙江
69,2020-12-01 11:38:10,13805762063.0,身份证,13968052087,nan,同等,已处罚,441223198805172374,余波,长春县,李路,119.950429002502,30.051439174845,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,广东省,34,浙江
70,2020-12-01 11:35:34,nan,身份证,13429178089,nan,nan,nan,610627199601262610,刘桂花,想市,哈尔滨路,119.960879653585,30.130014881814,内部道路,nan,nan,nan,nan,nan,nan,合法,陕西省,26,浙江
71,2020-12-01 11:32:02,13705711539.0,身份证,13705711539,非营运,nan,nan,360827200012163053,姜帆,婷婷市,昆明街,119.937732806213,30.052326877704,普通路面,路段,国道,nan,不在缺口上发生,否,无,合法,江西省,22,浙江
72,2020-12-01 11:23:24,13868163877.0,身份证,13868163877,非营运,nan,nan,361103201504145712,向玉华,莹县,哈尔滨街,119.94824,30.06749,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,江西省,7,浙江
73,2020-12-01 11:20:14,13456836266.0,身份证,13456836266,非营运,无责,未发现违法行为,370285199711144158,李丹,荆门市,呼和浩特街,119.975811008628,30.02174502131,普通路面,路段,国道,nan,不在缺口上发生,否,无,合法,山东省,25,浙江
74,2020-12-01 11:08:06,15888860170.0,身份证,13675875155,非营运,nan,nan,350629198511195738,张伟,张家港市,李路,119.94824,30.06749,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,福建省,37,浙江
75,2020-12-01 10:49:36,15067175728.0,身份证,15067175728,非营运,全部,已处罚,632622196512049711,张红,洁市,兴安盟街,119.908879053854,30.068399940499,内部道路,nan,nan,nan,nan,nan,nan,合法,青海省,57,浙江
76,2020-12-01 10:46:02,18258212106.0,身份证,18258212106,nan,无责,未发现违法行为,320282199603151918,钟辉,上海县,北京街,120.003246763257,30.052777473716,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,江苏省,26,浙江
77,2020-12-01 10:44:48,18857105227.0,身份证,13588760817,非营运,无责,未发现违法行为,532601201001289404,叶玉英,兴安盟市,张路,119.752260956386,30.003557215076,内部道路,nan,nan,nan,nan,nan,nan,合法,云南省,12,浙江
78,2020-12-01 10:39:08,15088698899.0,身份证,15088698899,非营运,nan,nan,150825200311221952,龚凯,建县,周街,119.878397077327,30.042040616969,内部道路,nan,nan,nan,nan,nan,nan,合法,内蒙古自治区,19,浙江
79,2020-12-01 10:35:20,18067904810.0,身份证,18067904810,nan,无责,未发现违法行为,411500199808167299,陈帅,伟市,罗街,119.92601,29.9352,普通路面,路口,县道,十字路口,nan,否,无,合法,河南省,24,不合法的电话号码
80,2020-12-01 10:31:53,13706505205.0,身份证,13706505205,非营运,无责,未发现违法行为,341102199204084962,李秀芳,玲县,香港街,119.88067,30.12405,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,安徽省,30,浙江
81,2020-12-01 10:26:43,15888825716.0,身份证,15888825716,非营运,无责,未发现违法行为,653123198508197589,王芳,坤市,大冶街,119.950580984148,30.052734196765,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,新疆维吾尔自治区,37,浙江
82,2020-12-01 10:26:05,13735417308.0,身份证,13868127754,nan,同等,未发现违法行为,350800199602085481,刘淑兰,哈尔滨县,庞路,119.872802703836,29.988073551047,普通路面,路口,省道,十字路口,nan,是,无,合法,福建省,26,浙江
83,2020-12-01 10:23:40,13868154341.0,身份证,15568233366,nan,nan,nan,230123199105253957,王萍,马鞍山县,上海街,119.941568251921,30.072021320619,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,黑龙江省,31,不合法的电话号码
84,2020-12-01 10:20:20,nan,身份证,13968071566,非营运,无法现场认定,未发现违法行为,610803201510213143,张坤,台北市,长沙路,119.940044577139,30.053073402269,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,陕西省,7,浙江
85,2020-12-01 10:20:09,13584838199.0,身份证,13584838199,非营运,无责,未发现违法行为,230183199606275181,李淑兰,银川县,孙路,119.971528287016,30.038272696524,普通路面,路口,国道,十字路口,nan,否,有,合法,黑龙江省,26,江苏
86,2020-12-01 09:08:36,15857106062.0,身份证,15824190404,非营运,nan,nan,632723198403048091,吴岩,淑华市,杭州街,119.736699662198,29.96761302358,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,青海省,38,浙江
87,2020-12-01 09:04:14,18268172012.0,身份证,13221099822,nan,无法现场认定,未发现违法行为,430423198406157378,汪秀梅,强市,张路,119.87082,29.97833,普通路面,路段,城市道路,nan,路边缺口,否,无,合法,湖南省,38,浙江
88,2020-12-01 08:54:56,15658115330.0,身份证,15658115330,nan,nan,nan,440114200005255494,冉晨,海口县,邯郸街,119.925901060393,30.070107726686,内部道路,nan,nan,nan,nan,nan,nan,合法,广东省,22,浙江
89,2020-12-01 08:53:05,15258875695.0,身份证,13567138273,nan,无责,未发现违法行为,450108200402126076,王鹏,桂珍县,梧州街,119.946904588043,30.068024227572,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,广西壮族自治区,18,浙江
90,2020-12-01 08:42:08,15858189066.0,身份证,15858189066,非营运,无责,未发现违法行为,331121200011172184,范淑英,莉市,唐街,119.940073401748,30.049084693107,普通路面,路段,国道,nan,不在缺口上发生,否,无,合法,浙江省,22,浙江
91,2020-12-01 08:24:41,13588818578.0,身份证,13588818578,非营运,全部,已处罚,370613199408051995,郭勇,福州市,南宁街,119.95848734533,30.055637341849,内部道路,nan,nan,nan,nan,nan,nan,合法,山东省,28,浙江
92,2020-12-01 08:24:36,nan,身份证,18758087628,非营运,无责,未发现违法行为,310104199001029361,周佳,沈阳县,张街,119.748167457896,30.001813667236,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,上海市,32,不合法的电话号码
93,2020-12-01 08:20:56,nan,身份证,13803990917,非营运,无法现场认定,未发现违法行为,610304200312125147,卢玉兰,宜都县,张路,nan,nan,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,陕西省,19,河南
94,2020-12-01 08:18:05,nan,身份证,18658042800,非营运,全部,已处罚,659006201203234308,赵云,秀珍市,李路,119.959673357473,30.053757333239,普通路面,路口,城市道路,不规则路口,nan,是,无,合法,新疆维吾尔自治区,10,浙江
95,2020-12-01 08:18:00,13989848887.0,身份证,15888809563,非营运,无责,未发现违法行为,530125198308111288,杨丽,昆明县,上海路,119.974322358456,30.162255520543,普通路面,路口,省道,十字路口,nan,否,无,合法,云南省,39,浙江
96,2020-12-01 08:12:47,17306719585.0,身份证,13588372438,非营运,全部,已处罚,230605198211158179,李平,晶县,通辽路,119.985952799662,30.067752766367,内部道路,nan,nan,nan,nan,nan,nan,合法,黑龙江省,40,浙江
97,2020-12-01 08:08:42,13357111728.0,身份证,13357111728,非营运,无责,未发现违法行为,440800196508026141,黄霞,南京市,齐齐哈尔路,119.946324623285,30.066249466767,普通路面,路口,城市道路,十字路口,nan,是,有,合法,广东省,57,浙江
98,2020-12-01 08:07:16,18758002725.0,身份证,18758002725,非营运,无责,未发现违法行为,321300199611276069,周玉梅,玉兰市,敖街,119.935197936995,30.053488762548,内部道路,nan,nan,nan,nan,nan,nan,合法,江苏省,26,不合法的电话号码
99,2020-12-01 08:04:40,13777491569.0,身份证,13777491569,非营运,无责,未发现违法行为,211282199509102728,敖英,洁县,邯郸路,119.873099285498,29.988102645403,普通路面,路口,城市道路,十字路口,nan,否,有,合法,辽宁省,27,浙江
100,2020-12-01 08:04:35,13362144407.0,身份证,13362144407,非营运,无责,未发现违法行为,140403201804261912,郑莹,建平县,辽阳路,119.920835130529,30.013759836072,普通路面,路段,城市道路,nan,不在缺口上发生,是,无,合法,山西省,4,浙江
101,2020-12-01 08:00:31,nan,身份证,13858071281,客运网约车,无法现场认定,未发现违法行为,421222199809034969,陈琴,坤市,辛集路,119.906691219552,30.048983698148,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,湖北省,24,浙江
102,2020-12-01 07:56:16,13967103871.0,身份证,13967103871,非营运,无责,未发现违法行为,130481199512241239,赵琳,石家庄县,王街,119.936719993773,30.043488856435,普通路面,路口,国道,十字路口,nan,是,有,合法,河北省,27,浙江
103,2020-12-01 07:55:28,18858121141.0,身份证,18858121141,非营运,无责,未发现违法行为,450324199806012791,余静,昆明县,方街,119.884279760809,30.117161307504,普通路面,路口,城市道路,不规则路口,nan,否,无,合法,广西壮族自治区,24,浙江
104,2020-12-01 07:49:19,13806517013.0,身份证,15869103863,非营运,无责,未发现违法行为,51118119951001381X,吴鹏,柳州市,兴城路,119.839629365219,29.985965842432,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,四川省,27,浙江
105,2020-12-01 07:40:36,15669968519.0,身份证,13858048604,非营运,无责,未发现违法行为,420000196511075182,方玉华,刚市,邵路,120.09642,30.04937,普通路面,路口,城市道路,十字路口,nan,否,无,合法,湖北省,57,浙江
106,2020-12-01 07:22:28,18868080441.0,身份证,15267012370,非营运,无责,未发现违法行为,330402200511053516,李玉,阜新县,陈街,119.934402483888,30.090534554371,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,浙江省,17,浙江
107,2020-12-01 07:18:18,15068120595.0,身份证,15068120595,nan,无法现场认定,待事故调查,511903201305174205,张玉珍,琴县,邵街,119.920252972396,30.050301859895,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,四川省,9,浙江
108,2020-12-01 07:12:02,13867145821.0,身份证,13806516227,nan,无责,未发现违法行为,469029200310029400,程杰,洁县,兰州路,119.730270000247,29.936659999961,普通路面,路段,乡/村道,nan,不在缺口上发生,否,nan,合法,海南省,19,浙江
109,2020-12-01 07:11:06,15336523635.0,身份证,13606609521,nan,无责,未发现违法行为,410425198608116258,胡超,华市,任街,119.628240003265,29.961270004524,普通路面,路口,城市道路,T字路口,nan,否,无,合法,河南省,36,浙江
110,2020-12-01 06:33:26,15156483403.0,身份证,15156483403,非营运,无责,未发现违法行为,331024199501036087,阎春梅,红梅市,太原路,119.885075462635,29.897829252702,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,浙江省,27,安徽
111,2020-12-01 06:29:55,18268179668.0,身份证,13738014816,nan,无责,未发现违法行为,130110201406057962,王娟,强市,福州路,nan,nan,普通路面,路口,省道,十字路口,nan,否,无,合法,河北省,8,浙江
112,2020-12-01 05:58:00,15258858530.0,身份证,18281858028,nan,无法现场认定,已处罚,610524199407192917,蔡秀云,秀英市,大冶路,nan,nan,普通路面,路段,省道,nan,不在缺口上发生,否,有,合法,陕西省,28,四川
113,2020-12-01 05:43:52,13282833702.0,身份证,15157132991,nan,主要,已处罚,440200198007168914,冯宇,岩市,梧州街,119.934881684961,30.063084431323,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,广东省,42,浙江
114,2020-11-30 23:47:10,15267185755.0,身份证,15267185755,非营运,无责,未发现违法行为,530521200009053395,段刚,宜都县,深圳路,nan,nan,内部道路,nan,nan,nan,nan,nan,nan,合法,云南省,22,浙江
